"id","entidad_federativa","municipio"
"1000","09","282"
"1010","09","282"
"1020","09","282"
"1028","09","282"
"1029","09","282"
"1030","09","282"
"1040","09","282"
"1048","09","282"
"1049","09","282"
"1050","09","282"
"1060","09","282"
"1070","09","282"
"1080","09","282"
"1089","09","282"
"1090","09","282"
"1100","09","282"
"1109","09","282"
"1110","09","282"
"1116","09","282"
"1120","09","282"
"1125","09","282"
"1130","09","282"
"1139","09","282"
"1140","09","282"
"1150","09","282"
"1159","09","282"
"1160","09","282"
"1170","09","282"
"1180","09","282"
"1184","09","282"
"1200","09","282"
"1209","09","282"
"1210","09","282"
"1219","09","282"
"1220","09","282"
"1230","09","282"
"1239","09","282"
"1240","09","282"
"1250","09","282"
"1259","09","282"
"1260","09","282"
"1269","09","282"
"1270","09","282"
"1275","09","282"
"1276","09","282"
"1278","09","282"
"1279","09","282"
"1280","09","282"
"1285","09","282"
"1289","09","282"
"1290","09","282"
"1296","09","282"
"1298","09","282"
"1299","09","282"
"1310","09","282"
"1320","09","282"
"1330","09","282"
"1340","09","282"
"1376","09","282"
"1377","09","282"
"1379","09","282"
"1389","09","282"
"1400","09","282"
"1407","09","282"
"1408","09","282"
"1410","09","282"
"1419","09","282"
"1420","09","282"
"1430","09","282"
"1440","09","282"
"1450","09","282"
"1460","09","282"
"1470","09","282"
"1480","09","282"
"1490","09","282"
"1500","09","282"
"1504","09","282"
"1505","09","282"
"1506","09","282"
"1507","09","282"
"1508","09","282"
"1509","09","282"
"1510","09","282"
"1520","09","282"
"1530","09","282"
"1537","09","282"
"1538","09","282"
"1539","09","282"
"1540","09","282"
"1548","09","282"
"1549","09","282"
"1550","09","282"
"1560","09","282"
"1566","09","282"
"1567","09","282"
"1569","09","282"
"1580","09","282"
"1585","09","282"
"1586","09","282"
"1587","09","282"
"1588","09","282"
"1589","09","282"
"1590","09","282"
"1600","09","282"
"1610","09","282"
"1618","09","282"
"1619","09","282"
"1620","09","282"
"1630","09","282"
"1640","09","282"
"1645","09","282"
"1650","09","282"
"1700","09","282"
"1708","09","282"
"1710","09","282"
"1720","09","282"
"1729","09","282"
"1730","09","282"
"1740","09","282"
"1750","09","282"
"1759","09","282"
"1760","09","282"
"1770","09","282"
"1780","09","282"
"1788","09","282"
"1789","09","282"
"1790","09","282"
"1800","09","282"
"1807","09","282"
"1810","09","282"
"1820","09","282"
"1830","09","282"
"1840","09","282"
"1849","09","282"
"1856","09","282"
"1857","09","282"
"1859","09","282"
"1860","09","282"
"1870","09","282"
"1900","09","282"
"1904","09","282"
"1940","09","282"
"1990","09","282"
"2000","09","274"
"2008","09","274"
"2010","09","274"
"2020","09","274"
"2040","09","274"
"2050","09","274"
"2060","09","274"
"2070","09","274"
"2080","09","274"
"2090","09","274"
"2099","09","274"
"2100","09","274"
"2109","09","274"
"2110","09","274"
"2120","09","274"
"2125","09","274"
