id,clave_municipio,nombre_municipio,entidad_federativa
1,001,Aguascalientes,01
2,002,Asientos,01
3,003,Calvillo,01
4,004,Cosío,01
5,005,Jesús María,01
6,006,Pabellón de Arteaga,01
7,007,Rincón de Romos,01
8,008,San José de Gracia,01
9,009,Tepezalá,01
10,010,El Llano,01
11,011,San Francisco de los Romo,01
12,999,No Especificado,01
13,001,Ensenada,02
14,002,Mexicali,02
15,003,Tecate,02
16,004,Tijuana,02
17,005,Playas de Rosarito,02
18,999,No Especificado,02
19,001,Comondú,03
20,002,Mulegé,03
21,003,La Paz,03
22,008,Los Cabos,03
23,009,Loreto,03
24,999,No Especificado,03
25,001,Calkiní,04
26,002,Campeche,04
27,003,Carmen,04
28,004,Champotón,04
29,005,Hecelchakán,04
30,006,Hopelchén,04
31,007,Palizada,04
32,008,Tenabo,04
33,009,Escárcega,04
34,010,Calakmul,04
35,011,Candelaria,04
36,999,No Especificado,04
37,001,Abasolo,05
38,002,Acuña,05
39,003,Allende,05
40,004,Arteaga,05
41,005,Candela,05
42,006,Castaños,05
43,007,Cuatro Ciénegas,05
44,008,Escobedo,05
45,009,Francisco I. Madero,05
46,010,Frontera,05
47,011,General Cepeda,05
48,012,Guerrero,05
49,013,Hidalgo,05
50,014,Jiménez,05
51,015,Juárez,05
52,016,Lamadrid,05
53,017,Matamoros,05
54,018,Monclova,05
55,019,Morelos,05
56,020,Múzquiz,05
57,021,Nadadores,05
58,022,Nava,05
59,023,Ocampo,05
60,024,Parras,05
61,025,Piedras Negras,05
62,026,Progreso,05
63,027,Ramos Arizpe,05
64,028,Sabinas,05
65,029,Sacramento,05
66,030,Saltillo,05
67,031,San Buenaventura,05
68,032,San Juan de Sabinas,05
69,033,San Pedro,05
70,034,Sierra Mojada,05
71,035,Torreón,05
72,036,Viesca,05
73,037,Villa Unión,05
74,038,Zaragoza,05
75,999,No Especificado,05
76,001,Armería,06
77,002,Colima,06
78,003,Comala,06
79,004,Coquimatlán,06
80,005,Cuauhtémoc,06
81,006,Ixtlahuacán,06
82,007,Manzanillo,06
83,008,Minatitlán,06
84,009,Tecomán,06
85,010,Villa de Álvarez,06
86,999,No Especificado,06
87,001,Acacoyagua,07
88,002,Acala,07
89,003,Acapetahua,07
90,004,Altamirano,07
91,005,Amatán,07
92,006,Amatenango de la Frontera,07
93,007,Amatenango del Valle,07
94,008,Angel Albino Corzo,07
95,009,Arriaga,07
96,010,Bejucal de Ocampo,07
97,011,Bella Vista,07
98,012,Berriozábal,07
99,013,Bochil,07
100,014,El Bosque,07
101,015,Cacahoatán,07
102,016,Catazajá,07
103,017,Cintalapa,07
104,018,Coapilla,07
105,019,Comitán de Domínguez,07
106,020,La Concordia,07
107,021,Copainalá,07
108,022,Chalchihuitán,07
